StateId|RouteId|BeginPoint|EndPoint|DataItem|BeginDate|ValueNumeric|ValueText|ValueDate|Comments|ReportDate|EndDate|SectionLength
54|01200330000EB|1.3000|1.4000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01200330000EB|1.4000|1.5000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01200330000EB|1.5000|1.6000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01200330000EB|1.6000|1.7000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01200330000EB|1.7000|1.8000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01200330000EB|1.8000|1.8700|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.0700
54|01201190000NB|6.9500|7.0000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.0500
54|02100810000NB|0.0000|0.1000|BASE_TYPE|1/1/2023|6.000||||4/24/2024|12/31/9999|0.1000
54|02100810000NB|0.1000|0.2000|BASE_TYPE|1/1/2023|6.000||||4/24/2024|12/31/9999|0.1000
54|02100810000NB|0.2000|0.3000|BASE_TYPE|1/1/2023|6.000||||4/24/2024|12/31/9999|0.1000
54|0130038000000|0.4300|2.4300|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|2.0000
54|0130038000000|5.5300|6.3100|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.7800
54|0130076000000|1.7500|6.6200|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|4.8700
54|0130092000000|8.6400|9.2650|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.6250
54|0130092000000|9.2650|10.7300|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|1.4650
54|01201190000NB|7.0000|7.1000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01201190000NB|7.1000|7.2000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01201190000NB|7.2000|7.3000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
54|01201190000NB|7.3000|7.4000|BASE_TYPE|1/1/2023|3.000||||4/24/2024|12/31/9999|0.1000
