StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,STRAHNET_TYPE_VN,STRAHNET_TYPE_VT,STRAHNET_TYPE_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000SB,0.0,26.0,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,26.0,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,02100810000NB,0.0,26.0,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,26.0,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,04100790000NB,44.6,83.15,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,38.55,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,04100790000SB,44.6,83.15,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,38.55,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,06100640000WB,5.87,31.77,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,25.9,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,06100640000EB,5.87,31.77,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,25.9,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,10100770016SB,52.58,67.21,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,14.63,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,11100790000NB,83.15,83.55,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,0.4,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,09200500000EB,0.0,18.87,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,18.87,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,09200500000WB,0.0,18.87,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,18.87,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,13100640000WB,147.6,184.02,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,36.42,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,10100770016NB,52.58,67.21,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,14.63,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,13100640000EB,147.6,184.02,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,36.42,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,08100790000NB,36.0,44.6,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,8.6,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,11100790000SB,83.15,83.55,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,0.4,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,08100790000SB,36.0,44.6,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,8.6,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,17200500000WB,0.0,18.25,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,18.25,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,17100790000NB,106.42,129.22,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,22.8,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
54,21100790000SB,83.55,106.42,STRAHNET_TYPE,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 5:23:49 PM,12/31/9999 12:00:00 AM,22.87,79186a96-ebdf-4f0d-9a8c-91cf6a0bb3cf,,
