StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,CURVES_E_VN,CURVES_E_VT,CURVES_E_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01201190000NB,6.95,9.29,CURVES_E,1/1/2022 12:00:00 AM,0.147,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,2.34,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,01201190000NB,10.66,11.5,CURVES_E,1/1/2022 12:00:00 AM,0.091,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,0.84,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130020000000,0.0,2.15,CURVES_E,1/1/2022 12:00:00 AM,0.009,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,2.15,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0130076000000,1.75,6.62,CURVES_E,1/1/2022 12:00:00 AM,0.032,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,4.87,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140006000000,0.11,3.13,CURVES_E,1/1/2022 12:00:00 AM,0.129,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,3.02,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140010000000,7.41,8.63,CURVES_E,1/1/2022 12:00:00 AM,0.08,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,1.22,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140011000000,3.05,3.78,CURVES_E,1/1/2022 12:00:00 AM,0.038,,,,5/16/2023 5:45:20 PM,12/31/9999 12:00:00 AM,0.73,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140024000000,1.64,2.79,CURVES_E,1/1/2022 12:00:00 AM,0.186,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,1.15,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140024000000,2.79,4.74,CURVES_E,1/1/2022 12:00:00 AM,0.118,,,,5/16/2023 5:45:20 PM,12/31/9999 12:00:00 AM,1.95,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140030000000,6.14,6.83,CURVES_E,1/1/2022 12:00:00 AM,0.04,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,0.69,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140030070000,0.0,0.92,CURVES_E,1/1/2022 12:00:00 AM,0.146,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,0.92,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140030070000,0.92,2.0,CURVES_E,1/1/2022 12:00:00 AM,0.043,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,1.08,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,0140046010000,0.0,1.62,CURVES_E,1/1/2022 12:00:00 AM,0.043,,,,5/16/2023 5:45:18 PM,12/31/9999 12:00:00 AM,1.62,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,02100810000NB,1.39,6.27,CURVES_E,1/1/2022 12:00:00 AM,0.01,,,,5/16/2023 5:45:19 PM,12/31/9999 12:00:00 AM,4.88,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
54,02100810000NB,6.27,11.63,CURVES_E,1/1/2022 12:00:00 AM,0.035,,,,5/16/2023 5:45:21 PM,12/31/9999 12:00:00 AM,5.36,d2e5c1c4-7bb9-434c-8e6b-406ec9136a57,,
