StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,THICKNESS_FLEXIBLE_VN,THICKNESS_FLEXIBLE_VT,THICKNESS_FLEXIBLE_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,0.0,1.39,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.39,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,1.39,6.27,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,4.88,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,6.27,11.63,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,5.36,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,11.63,13.54,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.91,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,13.54,14.26,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.72,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,14.26,15.22,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.96,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,15.22,15.62,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.4,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,15.62,15.95,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.33,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,15.95,16.23,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.28,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,16.23,17.3,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.07,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,17.3,18.13,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.83,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,18.13,20.37,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,2.24,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,20.37,23.0,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,2.63,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,23.0,23.4,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.4,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,23.4,23.46,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.06,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,23.46,23.5,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.04,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,23.5,24.53,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.03,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,24.53,25.9,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.37,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,02100810000NB,25.9,26.0,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,2.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.1,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,0.35,2.2,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.85,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,4.9,6.17,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,New 2021,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.27,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,6.17,6.27,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.1,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,6.47,7.58,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.11,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,10.52,10.84,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.32,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,10.84,11.15,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.31,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,14.55,14.9,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.35,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,15.57,15.79,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.22,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,15.79,16.09,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.3,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,6.381,6.47,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.089,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,0230009000000,7.584,9.95,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,7.0,,,same as 2020,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,2.366,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,53.27,54.18,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.91,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,49.73,50.35,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.62,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,63.46,64.83,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,5.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.37,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,64.83,67.52,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,2.69,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,61.47,62.04,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.57,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,51.61,52.61,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.0,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,57.51,59.0,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.49,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,46.22,49.73,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,3.51,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,62.04,63.46,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,5.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.42,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,50.35,51.61,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.26,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,59.0,61.47,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,2.47,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,52.61,53.27,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.66,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,69.32,70.83,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.51,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,67.52,69.32,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,9.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,1.8,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,78.41,79.08,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,5.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,0.67,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
54,04100790000NB,79.08,83.15,THICKNESS_FLEXIBLE,1/1/2022 12:00:00 AM,5.0,,,,5/25/2023 1:04:47 PM,12/31/9999 12:00:00 AM,4.07,b5cd8fea-340c-45f2-8298-1fb9bd0dc1f1,,
