StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,NHS_VN,NHS_VT,NHS_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.7,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,1.7,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,01200330000EB,1.7,3.9,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,2.2,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,01200330000EB,3.9,4.43,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.53,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,01200330000WB,0.0,1.7,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,1.7,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,01200330000WB,1.7,3.9,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,2.2,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,01200330000WB,3.9,4.43,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.53,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,0.0,11.3,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,11.3,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,11.3,11.4,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.1,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,11.4,23.0,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,11.6,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,23.0,23.6,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.6,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,23.6,23.7,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.1,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,23.7,23.8,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.1,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,23.8,25.4,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,1.6,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,25.4,25.9,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.5,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000NB,25.9,26.0,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.1,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000SB,0.0,11.3,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,11.3,6331d027-7475-46ed-b63e-fd9a03d19f38,,
54,02100810000SB,11.3,11.4,NHS,1/1/2022 12:00:00 AM,1.0,,,,5/16/2023 11:47:11 AM,12/31/9999 12:00:00 AM,0.1,6331d027-7475-46ed-b63e-fd9a03d19f38,,
