StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,YEAR_LAST_IMPROVEMENT_VN,YEAR_LAST_IMPROVEMENT_VT,YEAR_LAST_IMPROVEMENT_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,02100810000NB,0.0,1.39,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2018 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,1.39,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,1.39,6.27,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2010 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,4.88,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,6.27,11.63,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,5.36,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,11.63,13.54,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,1.91,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,13.54,14.26,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.72,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,14.26,15.22,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.96,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,15.22,15.62,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.4,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,15.62,15.95,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.33,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,15.95,16.23,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2016 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.28,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,16.23,17.3,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2015 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,1.07,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,17.3,18.13,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2015 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.83,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,18.13,20.37,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2015 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,2.24,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,20.37,23.0,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2018 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,2.63,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,23.0,23.4,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2021 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.4,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,23.4,23.46,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2021 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.06,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,23.46,23.5,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2021 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.04,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,23.5,24.53,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2021 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,1.03,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,24.53,25.9,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2021 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,1.37,e59818fd-ed44-4559-b280-97702d894b04,,
54,02100810000NB,25.9,26.0,YEAR_LAST_IMPROVEMENT,1/1/2022 12:00:00 AM,,,1/1/2021 12:00:00 AM,same as 2020,5/31/2023 1:40:46 PM,12/31/9999 12:00:00 AM,0.1,e59818fd-ed44-4559-b280-97702d894b04,,
