StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,PCT_DH_SINGLE_UNIT_VN,PCT_DH_SINGLE_UNIT_VT,PCT_DH_SINGLE_UNIT_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.87,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,10.608,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,1.87,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,01201190000NB,6.95,9.29,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,8.38,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,2.34,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,01201190000NB,10.66,11.5,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,8.38,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.84,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0130092000000,8.64,10.73,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,7.711,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,2.09,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0130076000000,1.75,6.62,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,5.46,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,4.87,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0130038000000,5.53,6.31,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,14.709,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,0.78,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0130038000000,0.43,2.43,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,14.709,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,2.0,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0130020000000,0.0,2.15,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,8.366,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,2.15,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140011000000,3.05,3.78,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,4.594,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,0.73,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140010000000,7.41,8.63,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,19.09,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,1.22,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140006000000,0.11,3.13,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,14.676,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,3.02,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140046010000,0.0,1.62,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,12.695,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,1.62,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140030070000,0.92,2.0,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,5.9,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,1.08,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140030070000,0.0,0.92,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,5.9,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.92,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140030000000,6.14,6.83,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,4.635,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,0.69,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140024000000,2.79,4.74,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,6.582,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,1.95,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0140024000000,1.64,2.79,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,6.582,A,12/31/2021 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,1.15,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0230009000000,4.81,6.17,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,3.366,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,1.36,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,0230901000000,4.86,5.44,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,6.014,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,0.58,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,24.53,26.0,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,1.47,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,23.46,24.53,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,1.07,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,23.0,23.46,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,0.46,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,20.37,23.0,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,2.63,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,18.13,20.37,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,2.24,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,17.3,18.13,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.83,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,16.23,17.3,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,1.07,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,15.95,16.23,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.28,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,15.62,15.95,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.33,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,15.22,15.62,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.4,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,14.26,15.22,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.96,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,13.54,14.26,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,0.72,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,11.63,13.54,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,1.91,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,6.27,11.63,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:04 PM,12/31/9999 12:00:00 AM,5.36,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
54,02100810000NB,1.39,6.27,PCT_DH_SINGLE_UNIT,1/1/2022 12:00:00 AM,0.0,A,12/31/2020 12:00:00 AM,,4/18/2023 5:06:03 PM,12/31/9999 12:00:00 AM,4.88,76ae2eaf-53dc-4b4c-ae56-a1ee4f190032,,
