StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,TERRAIN_TYPE_VN,TERRAIN_TYPE_VT,TERRAIN_TYPE_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.7,TERRAIN_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,1.7,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,01200330000EB,1.7,1.87,TERRAIN_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,0.17,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,01201190000NB,6.95,9.29,TERRAIN_TYPE,1/1/2022 12:00:00 AM,1.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,2.34,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,01201190000NB,10.66,11.5,TERRAIN_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,0.84,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0130020000000,0.0,2.15,TERRAIN_TYPE,1/1/2022 12:00:00 AM,1.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,2.15,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0130038000000,0.43,2.43,TERRAIN_TYPE,1/1/2022 12:00:00 AM,1.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,2.0,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0130038000000,5.53,6.31,TERRAIN_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,0.78,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0130076000000,1.75,6.62,TERRAIN_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,4.87,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0130092000000,8.64,9.265,TERRAIN_TYPE,1/1/2022 12:00:00 AM,1.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,0.625,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0130092000000,9.265,10.73,TERRAIN_TYPE,1/1/2022 12:00:00 AM,1.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,1.465,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0140006000000,0.11,3.13,TERRAIN_TYPE,1/1/2022 12:00:00 AM,3.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,3.02,40848d30-948b-4b76-b070-fcd1bbe87169,,
54,0140010000000,7.41,8.63,TERRAIN_TYPE,1/1/2022 12:00:00 AM,2.0,,,,4/17/2023 6:37:30 PM,12/31/9999 12:00:00 AM,1.22,40848d30-948b-4b76-b070-fcd1bbe87169,,
