StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,FUTURE_AADT_VN,FUTURE_AADT_VT,FUTURE_AADT_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.7,FUTURE_AADT,1/1/2022 12:00:00 AM,9292.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,1.7,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,01200330000EB,1.7,1.87,FUTURE_AADT,1/1/2022 12:00:00 AM,9292.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,0.17,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,01201190000NB,6.95,9.29,FUTURE_AADT,1/1/2022 12:00:00 AM,1995.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,2.34,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,01201190000NB,10.66,11.5,FUTURE_AADT,1/1/2022 12:00:00 AM,5880.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,0.84,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130020000000,0.0,2.15,FUTURE_AADT,1/1/2022 12:00:00 AM,1890.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,2.15,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130038000000,0.43,2.43,FUTURE_AADT,1/1/2022 12:00:00 AM,2598.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,2.0,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130038000000,5.53,6.31,FUTURE_AADT,1/1/2022 12:00:00 AM,1949.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,0.78,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130076000000,1.75,6.62,FUTURE_AADT,1/1/2022 12:00:00 AM,1191.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,4.87,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130092000000,8.64,9.978,FUTURE_AADT,1/1/2022 12:00:00 AM,2320.0,A,12/31/2042 12:00:00 AM,EstPct_MC;EstPct_Cars;EstPct_Lgt_Trucks;EstPct_Buses;EstPct_SU_Trucks;EstPct_CU_Trucks;,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,1.338,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130092000000,9.978,10.729,FUTURE_AADT,1/1/2022 12:00:00 AM,1732.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,0.751,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0130092000000,10.729,10.73,FUTURE_AADT,1/1/2022 12:00:00 AM,1732.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,0.001,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140006000000,0.11,3.13,FUTURE_AADT,1/1/2022 12:00:00 AM,704.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,3.02,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140010000000,7.41,8.63,FUTURE_AADT,1/1/2022 12:00:00 AM,217.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,1.22,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140011000000,3.05,3.78,FUTURE_AADT,1/1/2022 12:00:00 AM,162.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,0.73,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140024000000,1.64,2.79,FUTURE_AADT,1/1/2022 12:00:00 AM,217.0,A,12/31/2042 12:00:00 AM,EstPct_MC;EstPct_Cars;EstPct_Lgt_Trucks;EstPct_Buses;EstPct_SU_Trucks;EstPct_CU_Trucks;,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,1.15,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140024000000,2.79,4.74,FUTURE_AADT,1/1/2022 12:00:00 AM,217.0,A,12/31/2042 12:00:00 AM,EstPct_Buses;EstPct_CU_Trucks;,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,1.95,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140030000000,6.14,6.83,FUTURE_AADT,1/1/2022 12:00:00 AM,271.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,0.69,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140030070000,0.0,0.92,FUTURE_AADT,1/1/2022 12:00:00 AM,271.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,0.92,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140030070000,0.92,2.0,FUTURE_AADT,1/1/2022 12:00:00 AM,271.0,A,12/31/2042 12:00:00 AM,,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,1.08,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,0140046010000,0.0,1.62,FUTURE_AADT,1/1/2022 12:00:00 AM,162.0,A,12/31/2042 12:00:00 AM,EstPct_MC;EstPct_CU_Trucks;,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,1.62,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,02100810000NB,0.0,1.39,FUTURE_AADT,1/1/2022 12:00:00 AM,51011.0,A,12/31/2042 12:00:00 AM,EstPct_DH_Single_Unit;EstPct_DH_Combination;EstPct_MC;EstPct_Cars;EstPct_Lgt_Trucks;EstPct,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,1.39,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,02100810000NB,1.39,5.01,FUTURE_AADT,1/1/2022 12:00:00 AM,50762.0,A,12/31/2042 12:00:00 AM,EstPct_DH_Single_Unit;EstPct_DH_Combination;EstPct_MC;EstPct_Cars;EstPct_Lgt_Trucks;EstPct,4/19/2023 1:56:58 PM,12/31/9999 12:00:00 AM,3.62,3491775e-b624-4e24-8fbf-3e932021b89b,,
54,02100810000NB,5.01,6.27,FUTURE_AADT,1/1/2022 12:00:00 AM,51719.0,A,12/31/2042 12:00:00 AM,EstPct_DH_Single_Unit;EstPct_DH_Combination;EstPct_MC;EstPct_Cars;EstPct_Lgt_Trucks;EstPct,4/19/2023 1:56:59 PM,12/31/9999 12:00:00 AM,1.26,3491775e-b624-4e24-8fbf-3e932021b89b,,
