StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,SPEED_LIMIT_VN,SPEED_LIMIT_VT,SPEED_LIMIT_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,0230009000000,4.81,6.17,SPEED_LIMIT,1/1/2022 12:00:00 AM,55.0,,,020090000481,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.36,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0230009000000,20.03,20.16,SPEED_LIMIT,1/1/2022 12:00:00 AM,65.0,,,20090001818,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.13,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0230045000000,13.355,13.76,SPEED_LIMIT,1/1/2022 12:00:00 AM,45.0,,,20040013355,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.405,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0240019000000,1.55,3.43,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,20190000155,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.88,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0240032000000,0.0,1.26,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,20032000000,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.26,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0530002000000,14.83,15.05,SPEED_LIMIT,1/1/2022 12:00:00 AM,60.0,,,050020001483,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.22,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0530002000000,15.05,15.08,SPEED_LIMIT,1/1/2022 12:00:00 AM,60.0,,,050020001505,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.03,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0530002000000,3.88,6.35,SPEED_LIMIT,1/1/2022 12:00:00 AM,45.0,,,050020000388,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,2.47,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0530027000100,0.96,3.35,SPEED_LIMIT,1/1/2022 12:00:00 AM,40.0,,,05027A000096,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,2.39,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0540507000000,0.25,0.34,SPEED_LIMIT,1/1/2022 12:00:00 AM,40.0,,,55070000025,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.09,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0640001000000,2.1,2.145,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,60001000021,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.045,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0640009000000,1.688,1.7,SPEED_LIMIT,1/1/2022 12:00:00 AM,30.0,,,60090001688,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.012,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0640009000000,1.706,1.803,SPEED_LIMIT,1/1/2022 12:00:00 AM,30.0,,,60090001688,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.097,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,07200330000EB,10.13,14.3,SPEED_LIMIT,1/1/2022 12:00:00 AM,55.0,,,070330001013,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,4.17,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0640017000000,0.0,1.577,SPEED_LIMIT,1/1/2022 12:00:00 AM,40.0,,,60170000000,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.577,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0640021000000,0.537,0.9,SPEED_LIMIT,1/1/2022 12:00:00 AM,25.0,,,60021000537,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.363,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0640039000000,2.08,2.62,SPEED_LIMIT,1/1/2022 12:00:00 AM,25.0,,,60390000208,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.54,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0673287001900,1.03,1.14,SPEED_LIMIT,1/1/2022 12:00:00 AM,30.0,,,60328700103,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.11,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,0673292001900,0.0,0.69,SPEED_LIMIT,1/1/2022 12:00:00 AM,25.0,,,60329200000,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.69,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1030016000000,15.75,16.89,SPEED_LIMIT,1/1/2022 12:00:00 AM,55.0,,,1.0016E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.14,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1030061000000,0.0,1.12,SPEED_LIMIT,1/1/2022 12:00:00 AM,55.0,,,1.0061E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.12,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1030061000100,0.03,0.04,SPEED_LIMIT,1/1/2022 12:00:00 AM,25.0,,,,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.01,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1040008000000,1.3,2.0,SPEED_LIMIT,1/1/2022 12:00:00 AM,25.0,,,1.0008E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.7,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1040015000000,0.0,1.58,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,1.0015E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,1.58,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,13202190000NB,8.59,9.06,SPEED_LIMIT,1/1/2022 12:00:00 AM,40.0,,,132190000859,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.47,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1340060140000,6.25,6.39,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,1.30601E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.14,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1374103001900,0.0,0.31,SPEED_LIMIT,1/1/2022 12:00:00 AM,25.0,,,1.3041E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.31,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1530002000000,3.91,4.68,SPEED_LIMIT,1/1/2022 12:00:00 AM,55.0,,,150020000391,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.77,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1540507000000,0.92,1.16,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,155070000092,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.24,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
54,1530105000000,4.14,4.26,SPEED_LIMIT,1/1/2022 12:00:00 AM,35.0,,,1.50105E+11,6/6/2023 2:34:38 AM,12/31/9999 12:00:00 AM,0.12,908532ed-af8e-4c3f-983c-b5f9600c39bb,,
