StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,AADT_SINGLE_UNIT_VN,AADT_SINGLE_UNIT_VT,AADT_SINGLE_UNIT_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.7,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,1030.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,1.7,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,01200330000EB,1.7,1.87,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,1030.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,0.17,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,01200330000EB,1.87,3.9,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,993.0,A,12/31/2021 12:00:00 AM,EstPct_DH_Single_Unit;EstPct_DH_Combination;EstK_Factor;EstDir_Factor;EstPct_MC;EstPct_Car,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,2.03,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,01200330000EB,3.9,4.43,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,993.0,A,12/31/2021 12:00:00 AM,EstPct_DH_Single_Unit;EstPct_DH_Combination;EstK_Factor;EstDir_Factor;EstPct_MC;EstPct_Car,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,0.53,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,01201190000NB,6.95,9.29,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,202.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,2.34,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,01201190000NB,10.66,11.5,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,298.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,0.84,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,0130020000000,0.0,2.15,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,191.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,2.15,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,0130038000000,0.43,2.43,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,368.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,2.0,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,0130038000000,5.53,6.31,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,299.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,0.78,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
54,0130076000000,1.75,6.62,AADT_SINGLE_UNIT,1/1/2022 12:00:00 AM,83.0,A,12/31/2021 12:00:00 AM,,6/6/2023 1:13:50 AM,12/31/9999 12:00:00 AM,4.87,3f588eac-ebcb-4e03-96c2-7288c1e48fe7,,
