StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,GRADES_D_VN,GRADES_D_VT,GRADES_D_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.87,GRADES_D,1/1/2022 12:00:00 AM,0.877,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.87,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,01201190000NB,6.95,9.29,GRADES_D,1/1/2022 12:00:00 AM,0.351,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,2.34,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,01201190000NB,10.66,11.5,GRADES_D,1/1/2022 12:00:00 AM,0.287,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.84,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0130020000000,0.0,2.15,GRADES_D,1/1/2022 12:00:00 AM,0.077,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,2.15,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0130038000000,0.43,2.43,GRADES_D,1/1/2022 12:00:00 AM,0.284,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,2.0,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0130038000000,5.53,6.31,GRADES_D,1/1/2022 12:00:00 AM,0.14,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.78,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0130076000000,1.75,6.62,GRADES_D,1/1/2022 12:00:00 AM,0.333,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,4.87,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0130092000000,8.64,9.265,GRADES_D,1/1/2022 12:00:00 AM,0.232,,,,5/16/2023 3:19:46 PM,12/31/9999 12:00:00 AM,0.625,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0130092000000,9.265,10.73,GRADES_D,1/1/2022 12:00:00 AM,0.232,,,,5/16/2023 3:19:46 PM,12/31/9999 12:00:00 AM,1.465,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140006000000,0.11,3.13,GRADES_D,1/1/2022 12:00:00 AM,0.546,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,3.02,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140010000000,7.41,8.63,GRADES_D,1/1/2022 12:00:00 AM,0.298,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,1.22,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140011000000,3.05,3.78,GRADES_D,1/1/2022 12:00:00 AM,0.138,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.73,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140024000000,1.64,2.79,GRADES_D,1/1/2022 12:00:00 AM,0.118,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.15,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140024000000,2.79,4.74,GRADES_D,1/1/2022 12:00:00 AM,0.189,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,1.95,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140030000000,6.14,6.83,GRADES_D,1/1/2022 12:00:00 AM,0.176,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.69,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140030070000,0.0,0.92,GRADES_D,1/1/2022 12:00:00 AM,0.201,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,0.92,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140030070000,0.92,2.0,GRADES_D,1/1/2022 12:00:00 AM,0.263,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,1.08,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0140046010000,0.0,1.62,GRADES_D,1/1/2022 12:00:00 AM,0.403,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.62,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,1.39,6.27,GRADES_D,1/1/2022 12:00:00 AM,0.001,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,4.88,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,13.54,14.26,GRADES_D,1/1/2022 12:00:00 AM,0.01,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.72,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,15.22,15.62,GRADES_D,1/1/2022 12:00:00 AM,0.001,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.4,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,20.37,23.0,GRADES_D,1/1/2022 12:00:00 AM,0.021,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,2.63,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,23.0,23.46,GRADES_D,1/1/2022 12:00:00 AM,0.021,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.46,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02100810000NB,23.46,24.53,GRADES_D,1/1/2022 12:00:00 AM,0.019,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,1.07,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,5.24,6.05,GRADES_D,1/1/2022 12:00:00 AM,0.07,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.81,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,13.65,13.78,GRADES_D,1/1/2022 12:00:00 AM,0.009,,,,5/16/2023 3:19:44 PM,12/31/9999 12:00:00 AM,0.13,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,02200110000NB,24.71,24.97,GRADES_D,1/1/2022 12:00:00 AM,0.04,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.26,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,0.35,2.2,GRADES_D,1/1/2022 12:00:00 AM,0.214,,,,5/16/2023 3:19:43 PM,12/31/9999 12:00:00 AM,1.85,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,6.17,6.27,GRADES_D,1/1/2022 12:00:00 AM,0.017,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.1,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
54,0230009000000,6.4,6.47,GRADES_D,1/1/2022 12:00:00 AM,0.03,,,,5/16/2023 3:19:45 PM,12/31/9999 12:00:00 AM,0.07,41d8f75a-101e-4261-87b4-4b38d12feaf1,,
