StateId,RouteId,BeginPoint,EndPoint,DataItem,BeginDate,MEDIAN_WIDTH_VN,MEDIAN_WIDTH_VT,MEDIAN_WIDTH_VD,Comments,ReportDate,EndDate,SectionLength,ProcessId,IsWarning,IsApproved
54,01200330000EB,0.0,1.87,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,36.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,1.87,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,01201190000NB,6.95,9.29,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,2.34,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,01201190000NB,10.66,11.5,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,0.84,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0130020000000,0.0,2.15,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,2.15,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0130038000000,0.43,2.43,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,2.0,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0130038000000,5.53,6.31,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,0.78,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0130076000000,1.75,6.62,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,4.87,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0130092000000,8.64,9.265,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,0.625,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0130092000000,9.265,10.73,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,1.465,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
54,0140006000000,0.11,3.13,MEDIAN_WIDTH,1/1/2022 12:00:00 AM,0.0,,,,5/17/2023 12:24:30 PM,12/31/9999 12:00:00 AM,3.02,9dba530a-c3d5-467d-a4f0-72ffac6981f8,,
