Unnamed: 0|BeginDate|StateID|RouteID|BeginPoint|EndPoint|DataItem|Value_Numeric|Value_Text|Value_Date|Comments
0|12/31/2021|54|02200110000NB|13.3|13.4|CRACKING_PERCENT|0||6/2021|
1|12/31/2021|54|02200110000NB|13.4|13.5|CRACKING_PERCENT|0||6/2021|
2|12/31/2021|54|02200110000NB|13.5|13.6|CRACKING_PERCENT|0||6/2021|
3|12/31/2021|54|02200110000NB|13.6|13.7|CRACKING_PERCENT|0||6/2021|
4|12/31/2021|54|02200110000NB|13.7|13.8|CRACKING_PERCENT|0||6/2021|
5|12/31/2021|54|02200110000NB|13.8|13.9|CRACKING_PERCENT|0||6/2021|
6|12/31/2021|54|02200110000NB|13.9|14.0|CRACKING_PERCENT|0||6/2021|
7|12/31/2021|54|02200110000NB|14.0|14.1|CRACKING_PERCENT|0||6/2021|
8|12/31/2021|54|02200110000NB|14.1|14.2|CRACKING_PERCENT|0||6/2021|
9|12/31/2021|54|02200110000NB|14.2|14.3|CRACKING_PERCENT|0||6/2021|
10|12/31/2021|54|02200110000NB|14.3|14.4|CRACKING_PERCENT|0||6/2021|
11|12/31/2021|54|02200110000NB|14.4|14.5|CRACKING_PERCENT|0||6/2021|
12|12/31/2021|54|02200110000NB|14.5|14.6|CRACKING_PERCENT|0||6/2021|
13|12/31/2021|54|02200110000NB|14.6|14.7|CRACKING_PERCENT|2||6/2021|
14|12/31/2021|54|02200110000NB|14.7|14.8|CRACKING_PERCENT|1||6/2021|
15|12/31/2021|54|0230009000000|0.0|0.1|CRACKING_PERCENT|5||4/2021|
16|12/31/2021|54|0230009000000|0.1|0.2|CRACKING_PERCENT|0||4/2021|
17|12/31/2021|54|0230009000000|0.2|0.3|CRACKING_PERCENT|0||4/2021|
18|12/31/2021|54|0230009000000|0.3|0.4|CRACKING_PERCENT|0||4/2021|
19|12/31/2021|54|0230009000000|0.4|0.5|CRACKING_PERCENT|0||4/2021|
20|12/31/2021|54|0230009000000|0.5|0.6|CRACKING_PERCENT|0||4/2021|
21|12/31/2021|54|0230009000000|0.6|0.7|CRACKING_PERCENT|0||4/2021|
22|12/31/2021|54|0230009000000|0.7|0.8|CRACKING_PERCENT|0||4/2021|
23|12/31/2021|54|0230009000000|0.8|0.9|CRACKING_PERCENT|0||4/2021|
24|12/31/2021|54|0230009000000|0.9|1.0|CRACKING_PERCENT|0||4/2021|
25|12/31/2021|54|0230009000000|1.0|1.1|CRACKING_PERCENT|0||4/2021|
26|12/31/2021|54|0230009000000|1.1|1.2|CRACKING_PERCENT|0||4/2021|
27|12/31/2021|54|0230009000000|1.2|1.3|CRACKING_PERCENT|0||4/2021|
28|12/31/2021|54|0230009000000|1.3|1.4|CRACKING_PERCENT|0||4/2021|
29|12/31/2021|54|0230009000000|1.4|1.5|CRACKING_PERCENT|0||4/2021|
30|12/31/2021|54|0230009000000|1.5|1.6|CRACKING_PERCENT|0||4/2021|
