BeginDate|StateID|Metadata_Type|FSystem|IsUrban|Is_State_Owned|ValueNumeric
12/31/2021|54|AADT_24|1|Y|Y|14
12/31/2021|54|AADT_24|1|Y|N|431
12/31/2021|54|AADT_24|1|N|Y|1
12/31/2021|54|AADT_24|1|N|N|214
12/31/2021|54|AADT_24|2|Y|Y|4
12/31/2021|54|AADT_24|2|Y|N|0
12/31/2021|54|AADT_24|2|N|Y|0
12/31/2021|54|AADT_24|2|N|N|0
12/31/2021|54|AADT_24|3|Y|Y|75
12/31/2021|54|AADT_24|3|Y|N|23
12/31/2021|54|AADT_24|3|N|Y|156
12/31/2021|54|AADT_24|3|N|N|13
12/31/2021|54|AADT_24|4|Y|Y|149
12/31/2021|54|AADT_24|4|Y|N|13
12/31/2021|54|AADT_24|4|N|Y|229
12/31/2021|54|AADT_24|4|N|N|0
12/31/2021|54|AADT_24|5|Y|Y|146
12/31/2021|54|AADT_24|5|Y|N|44
12/31/2021|54|AADT_24|5|N|Y|684
12/31/2021|54|AADT_24|5|N|N|2
12/31/2021|54|AADT_24|6|Y|Y|18
12/31/2021|54|AADT_24|6|Y|N|0
12/31/2021|54|AADT_24|6|N|Y|271
12/31/2021|54|AADT_24|6|N|N|0
12/31/2021|54|AADT_24|7|Y|Y|74
12/31/2021|54|AADT_24|7|Y|N|0
12/31/2021|54|AADT_24|7|N|Y|616
12/31/2021|54|AADT_24|7|N|N|1
12/31/2021|54|AADT_48|1|Y|Y|14
12/31/2021|54|AADT_48|1|Y|N|431
12/31/2021|54|AADT_48|1|N|Y|1
12/31/2021|54|AADT_48|1|N|N|214
12/31/2021|54|AADT_48|2|Y|Y|4
12/31/2021|54|AADT_48|2|Y|N|0
12/31/2021|54|AADT_48|2|N|Y|0
12/31/2021|54|AADT_48|2|N|N|0
12/31/2021|54|AADT_48|3|Y|Y|75
12/31/2021|54|AADT_48|3|Y|N|23
12/31/2021|54|AADT_48|3|N|Y|156
12/31/2021|54|AADT_48|3|N|N|13
12/31/2021|54|AADT_48|4|Y|Y|149
12/31/2021|54|AADT_48|4|Y|N|13
12/31/2021|54|AADT_48|4|N|Y|229
12/31/2021|54|AADT_48|4|N|N|0
12/31/2021|54|AADT_48|5|Y|Y|146
12/31/2021|54|AADT_48|5|Y|N|44
12/31/2021|54|AADT_48|5|N|Y|684
12/31/2021|54|AADT_48|5|N|N|2
12/31/2021|54|AADT_48|6|Y|Y|18
12/31/2021|54|AADT_48|6|Y|N|0
12/31/2021|54|AADT_48|6|N|Y|271
12/31/2021|54|AADT_48|6|N|N|0
12/31/2021|54|AADT_48|7|Y|Y|74
12/31/2021|54|AADT_48|7|Y|N|0
12/31/2021|54|AADT_48|7|N|Y|616
12/31/2021|54|AADT_48|7|N|N|1
12/31/2021|54|AADT_Pct_Actual|1|Y|Y|7
12/31/2021|54|AADT_Pct_Actual|1|Y|N|74
12/31/2021|54|AADT_Pct_Actual|1|N|Y|2
12/31/2021|54|AADT_Pct_Actual|1|N|N|58
12/31/2021|54|AADT_Pct_Actual|2|Y|Y|7
12/31/2021|54|AADT_Pct_Actual|2|Y|N|0
12/31/2021|54|AADT_Pct_Actual|2|N|Y|0
12/31/2021|54|AADT_Pct_Actual|2|N|N|0
12/31/2021|54|AADT_Pct_Actual|3|Y|Y|22
12/31/2021|54|AADT_Pct_Actual|3|Y|N|14
12/31/2021|54|AADT_Pct_Actual|3|N|Y|38
12/31/2021|54|AADT_Pct_Actual|3|N|N|27
12/31/2021|54|AADT_Pct_Actual|4|Y|Y|18
12/31/2021|54|AADT_Pct_Actual|4|Y|N|15
12/31/2021|54|AADT_Pct_Actual|4|N|Y|49
12/31/2021|54|AADT_Pct_Actual|4|N|N|0
12/31/2021|54|AADT_Pct_Actual|5|Y|Y|22
12/31/2021|54|AADT_Pct_Actual|5|Y|N|7
12/31/2021|54|AADT_Pct_Actual|5|N|Y|34
12/31/2021|54|AADT_Pct_Actual|5|N|N|9
12/31/2021|54|AADT_Pct_Actual|6|Y|Y|24
12/31/2021|54|AADT_Pct_Actual|6|Y|N|0
12/31/2021|54|AADT_Pct_Actual|6|N|Y|30
12/31/2021|54|AADT_Pct_Actual|6|N|N|0
12/31/2021|54|AADT_Pct_Actual|7|Y|Y|3
12/31/2021|54|AADT_Pct_Actual|7|Y|N|0
12/31/2021|54|AADT_Pct_Actual|7|N|Y|7
12/31/2021|54|AADT_Pct_Actual|7|N|N|2
12/31/2021|54|Travel_Class_Type|1|Y|Y|3
12/31/2021|54|Travel_Class_Type|1|Y|N|3
12/31/2021|54|Travel_Class_Type|1|N|Y|3
12/31/2021|54|Travel_Class_Type|1|N|N|3
12/31/2021|54|Travel_Class_Type|2|Y|Y|3
12/31/2021|54|Travel_Class_Type|2|Y|N|3
12/31/2021|54|Travel_Class_Type|2|N|Y|3
12/31/2021|54|Travel_Class_Type|2|N|N|3
12/31/2021|54|Travel_Class_Type|3|Y|Y|3
12/31/2021|54|Travel_Class_Type|3|Y|N|3
12/31/2021|54|Travel_Class_Type|3|N|Y|3
12/31/2021|54|Travel_Class_Type|3|N|N|3
12/31/2021|54|Travel_Class_Type|4|Y|Y|3
12/31/2021|54|Travel_Class_Type|4|Y|N|3
12/31/2021|54|Travel_Class_Type|4|N|Y|3
12/31/2021|54|Travel_Class_Type|4|N|N|3
12/31/2021|54|Travel_Class_Type|5|Y|Y|3
12/31/2021|54|Travel_Class_Type|5|Y|N|3
12/31/2021|54|Travel_Class_Type|5|N|Y|3
12/31/2021|54|Travel_Class_Type|5|N|N|3
12/31/2021|54|Travel_Class_Type|6|Y|Y|3
12/31/2021|54|Travel_Class_Type|6|Y|N|3
12/31/2021|54|Travel_Class_Type|6|N|Y|3
12/31/2021|54|Travel_Class_Type|6|N|N|3
12/31/2021|54|Travel_Class_Type|7|Y|Y|3
12/31/2021|54|Travel_Class_Type|7|Y|N|3
12/31/2021|54|Travel_Class_Type|7|N|Y|3
12/31/2021|54|Travel_Class_Type|7|N|N|3
12/31/2021|54|Ramp_Traf_Est_Method|1|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|1|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|1|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|1|N|N|2
12/31/2021|54|Ramp_Traf_Est_Method|2|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|2|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|2|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|2|N|N|2
12/31/2021|54|Ramp_Traf_Est_Method|3|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|3|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|3|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|3|N|N|2
12/31/2021|54|Ramp_Traf_Est_Method|4|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|4|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|4|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|4|N|N|2
12/31/2021|54|Ramp_Traf_Est_Method|5|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|5|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|5|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|5|N|N|2
12/31/2021|54|Ramp_Traf_Est_Method|6|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|6|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|6|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|6|N|N|2
12/31/2021|54|Ramp_Traf_Est_Method|7|Y|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|7|Y|N|2
12/31/2021|54|Ramp_Traf_Est_Method|7|N|Y|2
12/31/2021|54|Ramp_Traf_Est_Method|7|N|N|2
